Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3
1268;1;FLAMENGO/RJ;BOTAFOGO/RJ;Sábado;0;0;0;0,651992861;0,21189768;0,136109459;0,651992861;0,21189768;0,136109459;0;0;0
1268;2;ATLETICO/MG;VITORIA/BA;Sábado;0;0;0;0,57651834;0,263830427;0,159651233;0,57651834;0,263830427;0,159651233;0;0;0
1268;3;SAO PAULO/SP;BRAGANTINO/SP;Sábado;0;0;0;0,44190031;0,293210583;0,264889106;0,44190031;0,293210583;0,264889106;0;0;0
1268;4;SEVILLA/ESP;ATLETICO MADRID/ESP;Sábado;0;0;0;0,272716856;0,277300332;0,449982812;0,449982812;0,277300332;0,272716856;0;0;0
1268;5;VASCO DA GAMA/RJ;CRUZEIRO/MG;Domingo;0;0;0;0,371896054;0,289894129;0,338209817;0,371896054;0,338209817;0,289894129;0;0;0
1268;6;ATHLETICO/PR;FLUMINENSE/RJ;Domingo;0;0;0;0,414738559;0,298134747;0,287126695;0,414738559;0,298134747;0,287126695;0;0;0
1268;7;CHELSEA/ING;BRIGHTON/ING;Domingo;0;0;0;0,480468569;0,250573482;0,268957949;0,480468569;0,268957949;0,250573482;0;0;0
1268;8;LEEDS UNITED/ING;BRENTFORD/ING;Domingo;0;0;0;0,377775323;0,274936485;0,347288192;0,377775323;0,347288192;0,274936485;0;0;0
1268;9;CORINTHIANS/SP;SANTOS/SP;Domingo;0;0;0;0,524569495;0,274627559;0,200802946;0,524569495;0,274627559;0,200802946;0;0;0
1268;10;CRB/AL;CRICIUMA/SC;Domingo;0;0;0;0,362431296;0,31328807;0,324280634;0,362431296;0,324280634;0,31328807;0;0;0
1268;11;MIRASSOL/SP;PALMEIRAS/SP;Domingo;0;0;0;0,23537419;0,284171278;0,480454532;0,480454532;0,284171278;0,23537419;0;0;0
1268;12;GREMIO/RS;CHAPECOENSE/SC;Domingo;0;0;0;0,634137871;0,22462233;0,141239799;0,634137871;0,22462233;0,141239799;0;0;0
1268;13;BAHIA/BA;INTERNACIONAL/RS;Domingo;0;0;0;0,489365782;0,279846899;0,230787319;0,489365782;0,279846899;0,230787319;0;0;0
1268;14;CELTA DE VIGO/ESP;ATHLETIC BILBAO/ESP;Domingo;0;0;0;0,402607362;0,28297546;0,314417178;0,402607362;0,314417178;0,28297546;0;0;0
